	Full_Pathway	Sample_ID	Abundance	Pathway_ID	Pathway_Name	TaxID
0	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Asterionella.s__Asterionella_formosa__210441	ERR3980584	0.0	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	g__Asterionella.s__Asterionella_formosa__210441
1	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Attheya.s__Attheya_septentrionalis__420275	ERR3980584	0.0	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	g__Attheya.s__Attheya_septentrionalis__420275
2	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Chaetoceros.s__Chaetoceros_cf._neogracilis__1048532	ERR3980584	0.0	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	g__Chaetoceros.s__Chaetoceros_cf._neogracilis__1048532
3	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Chaetoceros.s__Chaetoceros_dichaeta__420782	ERR3980584	0.0	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	g__Chaetoceros.s__Chaetoceros_dichaeta__420782
4	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Corethron.s__Corethron_hystrix__216773	ERR3980584	0.0	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	g__Corethron.s__Corethron_hystrix__216773
5	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Coscinodiscus.s__Coscinodiscus_wailesii__671091	ERR3980584	0.0	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	g__Coscinodiscus.s__Coscinodiscus_wailesii__671091
6	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Cylindrotheca.s__Cylindrotheca_closterium__2856	ERR3980584	0.0	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	g__Cylindrotheca.s__Cylindrotheca_closterium__2856
7	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Dactyliosolen.s__Dactyliosolen_fragilissimus__1118495	ERR3980584	0.0	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	g__Dactyliosolen.s__Dactyliosolen_fragilissimus__1118495
8	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Eucampia.s__Eucampia_antarctica__49252	ERR3980584	0.0	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	g__Eucampia.s__Eucampia_antarctica__49252
9	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Helicotheca.s__Helicotheca_tamesis__374047	ERR3980584	0.0	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	g__Helicotheca.s__Helicotheca_tamesis__374047
