# Pathway	SRR3745322_Abundance-CPM	SRR3745332_Abundance-CPM	SRR3745334_Abundance-CPM	SRR3745335_Abundance-CPM	SRR3745337_Abundance-CPM	SRR3745339_Abundance-CPM	SRR3745340_Abundance-CPM	SRR3745341_Abundance-CPM	SRR3745343_Abundance-CPM	SRR3745344_Abundance-CPM	SRR3745347_Abundance-CPM	SRR3746048_Abundance-CPM	SRR3747289_Abundance-CPM	SRR3747315_Abundance-CPM	SRR3747324_Abundance-CPM	SRR3747325_Abundance-CPM	SRR3747326_Abundance-CPM	SRR3747327_Abundance-CPM	SRR3747328_Abundance-CPM	SRR3747329_Abundance-CPM	SRR3747330_Abundance-CPM	SRR3747331_Abundance-CPM	SRR3747359_Abundance-CPM	SRR3747360_Abundance-CPM	SRR3747361_Abundance-CPM	SRR3747362_Abundance-CPM	SRR3747363_Abundance-CPM	SRR3747364_Abundance-CPM	SRR3747368_Abundance-CPM	SRR3747400_Abundance-CPM	SRR3747401_Abundance-CPM	SRR3747402_Abundance-CPM	SRR3747403_Abundance-CPM	SRR3747404_Abundance-CPM	SRR3747405_Abundance-CPM	SRR3747412_Abundance-CPM	SRR3747413_Abundance-CPM	SRR3747414_Abundance-CPM	SRR3747415_Abundance-CPM	SRR3747416_Abundance-CPM	SRR3747417_Abundance-CPM	SRR3747418_Abundance-CPM	SRR3747419_Abundance-CPM	SRR3747420_Abundance-CPM	SRR3747762_Abundance-CPM	SRR3747763_Abundance-CPM	SRR3747764_Abundance-CPM	SRR3747765_Abundance-CPM	SRR3747775_Abundance-CPM	SRR3747777_Abundance-CPM	SRR3747797_Abundance-CPM	SRR3747799_Abundance-CPM	SRR3747800_Abundance-CPM	SRR3747801_Abundance-CPM	SRR3747802_Abundance-CPM	SRR3747803_Abundance-CPM	SRR3747804_Abundance-CPM	SRR3747805_Abundance-CPM	SRR3747806_Abundance-CPM	SRR3747807_Abundance-CPM	SRR3747808_Abundance-CPM	SRR3747809_Abundance-CPM	SRR3747810_Abundance-CPM	SRR3747823_Abundance-CPM	SRR3747824_Abundance-CPM
UNMAPPED	701611	701996	700130	667032	637193	427345	798851	666207	699450	719457	612076	817851	938785	842451	927950	909900	862148	919723	903438	882750	941060	0	886771	932906	947939	0	893369	832292	935952	883145	964884	910212	915594	980169	967665	0	907446	0	912278	940691	930207	888894	927233	892205	0	936804	0	974229	0	0	869887	661702	635058	678117	736329	529868	618902	744567	685082	778797	808278	788070	961914	800541	919723
UNINTEGRATED	294557	295606	297976	328660	358380	570109	195259	329367	297709	277678	382562	159133	59069	140862	62929.2	84268.7	123926	75942.1	88677.6	110218	56581.8	0	108830	63900.8	48845.1	0	97929.1	147891	55036.3	108899	35021.4	81413.5	80248.8	19810.8	29892.1	0	79263.3	0	80675.8	59090	69774.2	98990.9	67941.1	99671.1	0	63155.9	0	25764.9	0	0	115048	298751	314272	274561	218187	408937	329060	212482	263914	198276	159173	184113	35753.4	174990	75942.1
UNINTEGRATED|g__Aequorivita.s__Aequorivita_sp._HC6-5__1156267	0	0	0	0	0	0	0	0	0	0	0	8144.7	0	26916	2073.07	1010.75	0	3201.17	22222.5	0	3479.1	0	15667.1	0	0	0	3015.41	0	1753.99	37348.6	0	0	0	0	0	0	1790.79	0	0	0	0	4314.83	1246.29	10411.5	0	0	0	0	0	0	22619.7	28569.7	23509	11318.6	32390.4	5917.44	20292.5	29629.7	22071.6	29699.8	20753.9	50558.3	5366.35	56260.3	3201.17
UNINTEGRATED|g__Alexandrium.s__Alexandrium_andersonii__327968	0	0	0	0	0	0	0	0	0	0	208.424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Alexandrium.s__Alexandrium_catenella__2925	76.2921	0	0	0	0	0	17.9098	24.7744	0	9.29005	118.244	0	0	0	0	0	0	447.305	0	0	54.6357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.0094	0	0	18.2901	31.8908	0	0	18.9248	63.0825	0	11.1257	28.624	0	0	447.305
UNINTEGRATED|g__Alexandrium.s__Alexandrium_margalefii__109239	288.144	0	0	0	0	0	124.575	5.89095	0	23.3339	718.965	0	0	0	0	0	0	273.694	0	0	24.2995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	460.065	0	0	89.0085	24.6449	0	0	213.048	34.7914	0	662.596	11.036	0	0	273.694
UNINTEGRATED|g__Alteromonas.s__Alteromonas_australica	0	0	13524.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30836.2	0	0	0	0	0	0	0	0	0	0	0	0	0	13311	0	0	0	0	0	0	0	7642.34	113244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Ammonia.s__Ammonia_sp.__43993	0	0	0	0	0	0	0	0	0	0	239.861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Amoebophrya.s__Amoebophrya_sp.__88552	0	0	0	0	0	0	5005.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	697.801	0	0	0	0	0	0
UNINTEGRATED|g__Amphidinium.s__Amphidinium_carterae__2961	0	0	0	0	1489.7	0	10028.3	1453.39	0	699.654	1824.44	0	0	0	0	0	0	3026.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	474.77	0	0	26.594	47.0324	0	0	66.4114	0	0	0	0	0	0	3026.99
