Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR3745334	GS670_3p0_dT: Raneafjarden,Station RA-2	Illumina HiSeq 2000	21342	1467842400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR374/SRR3745334/SRR3745334.sra	SRR3745334.sra	SRR3745334_GS670_3p0_dT_Raneafjarden_Station_RA-2.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR374/004/SRR3745334/SRR3745334_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR374/004/SRR3745334/SRR3745334_1.fastq.gz	SRR3745334_1.fastq.gz	SRR3745334_GS670_3p0_dT_Raneafjarden_Station_RA-2_1.fastq.gz
SRR3745334	GS670_3p0_dT: Raneafjarden,Station RA-2	Illumina HiSeq 2000	21342	1467842400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR374/SRR3745334/SRR3745334.sra	SRR3745334.sra	SRR3745334_GS670_3p0_dT_Raneafjarden_Station_RA-2.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR374/004/SRR3745334/SRR3745334_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR374/004/SRR3745334/SRR3745334_2.fastq.gz	SRR3745334_2.fastq.gz	SRR3745334_GS670_3p0_dT_Raneafjarden_Station_RA-2_2.fastq.gz
SRR3745335	GS675_3p0_dT: Bottenhavet, Station C-14	Illumina HiSeq 2000	25147	1467842400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR374/SRR3745335/SRR3745335.sra	SRR3745335.sra	SRR3745335_GS675_3p0_dT_Bottenhavet_Station_C-14.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR374/005/SRR3745335/SRR3745335_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR374/005/SRR3745335/SRR3745335_1.fastq.gz	SRR3745335_1.fastq.gz	SRR3745335_GS675_3p0_dT_Bottenhavet_Station_C-14_1.fastq.gz
SRR3745335	GS675_3p0_dT: Bottenhavet, Station C-14	Illumina HiSeq 2000	25147	1467842400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR374/SRR3745335/SRR3745335.sra	SRR3745335.sra	SRR3745335_GS675_3p0_dT_Bottenhavet_Station_C-14.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR374/005/SRR3745335/SRR3745335_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR374/005/SRR3745335/SRR3745335_2.fastq.gz	SRR3745335_2.fastq.gz	SRR3745335_GS675_3p0_dT_Bottenhavet_Station_C-14_2.fastq.gz
SRR3745322	GS667_3p0_dT: Lake TorneTrask, Abisko, Sweden, above the Arctic Circle	Illumina HiSeq 2000	25031	1467842400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR374/SRR3745322/SRR3745322.sra	SRR3745322.sra	SRR3745322_GS667_3p0_dT_Lake_TorneTrask_Abisko_Sweden_above_the_Arctic_Circle.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR374/002/SRR3745322/SRR3745322_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR374/002/SRR3745322/SRR3745322_1.fastq.gz	SRR3745322_1.fastq.gz	SRR3745322_GS667_3p0_dT_Lake_TorneTrask_Abisko_Sweden_above_the_Arctic_Circle_1.fastq.gz
SRR3745322	GS667_3p0_dT: Lake TorneTrask, Abisko, Sweden, above the Arctic Circle	Illumina HiSeq 2000	25031	1467842400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR374/SRR3745322/SRR3745322.sra	SRR3745322.sra	SRR3745322_GS667_3p0_dT_Lake_TorneTrask_Abisko_Sweden_above_the_Arctic_Circle.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR374/002/SRR3745322/SRR3745322_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR374/002/SRR3745322/SRR3745322_2.fastq.gz	SRR3745322_2.fastq.gz	SRR3745322_GS667_3p0_dT_Lake_TorneTrask_Abisko_Sweden_above_the_Arctic_Circle_2.fastq.gz
SRR3745332	GS669_3p0_dT: Raneafjarden,Station RA-2	Illumina HiSeq 2000	29302	1467842400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR374/SRR3745332/SRR3745332.sra	SRR3745332.sra	SRR3745332_GS669_3p0_dT_Raneafjarden_Station_RA-2.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR374/002/SRR3745332/SRR3745332_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR374/002/SRR3745332/SRR3745332_1.fastq.gz	SRR3745332_1.fastq.gz	SRR3745332_GS669_3p0_dT_Raneafjarden_Station_RA-2_1.fastq.gz
SRR3745332	GS669_3p0_dT: Raneafjarden,Station RA-2	Illumina HiSeq 2000	29302	1467842400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR374/SRR3745332/SRR3745332.sra	SRR3745332.sra	SRR3745332_GS669_3p0_dT_Raneafjarden_Station_RA-2.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR374/002/SRR3745332/SRR3745332_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR374/002/SRR3745332/SRR3745332_2.fastq.gz	SRR3745332_2.fastq.gz	SRR3745332_GS669_3p0_dT_Raneafjarden_Station_RA-2_2.fastq.gz
SRR3745339	GS677_3p0_dT: Helcom site 4 Deepest Section of the Baltic Sea	Illumina HiSeq 2000	15860	1467842400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR374/SRR3745339/SRR3745339.sra	SRR3745339.sra	SRR3745339_GS677_3p0_dT_Helcom_site_4_Deepest_Section_of_the_Baltic_Sea.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR374/009/SRR3745339/SRR3745339_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR374/009/SRR3745339/SRR3745339_1.fastq.gz	SRR3745339_1.fastq.gz	SRR3745339_GS677_3p0_dT_Helcom_site_4_Deepest_Section_of_the_Baltic_Sea_1.fastq.gz
SRR3745339	GS677_3p0_dT: Helcom site 4 Deepest Section of the Baltic Sea	Illumina HiSeq 2000	15860	1467842400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR374/SRR3745339/SRR3745339.sra	SRR3745339.sra	SRR3745339_GS677_3p0_dT_Helcom_site_4_Deepest_Section_of_the_Baltic_Sea.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR374/009/SRR3745339/SRR3745339_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR374/009/SRR3745339/SRR3745339_2.fastq.gz	SRR3745339_2.fastq.gz	SRR3745339_GS677_3p0_dT_Helcom_site_4_Deepest_Section_of_the_Baltic_Sea_2.fastq.gz
