	Full_Pathway	Sample_ID	Abundance	Pathway_ID	Pathway_Name	TaxID
0	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Asterionella.s__Asterionella_formosa__210441	SRR8039428	0.0	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	g__Asterionella.s__Asterionella_formosa__210441
1	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Attheya.s__Attheya_septentrionalis__420275	SRR8039428	0.0	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	g__Attheya.s__Attheya_septentrionalis__420275
2	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Chaetoceros.s__Chaetoceros_dichaeta__420782	SRR8039428	0.0	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	g__Chaetoceros.s__Chaetoceros_dichaeta__420782
3	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Coscinodiscus.s__Coscinodiscus_wailesii__671091	SRR8039428	0.0	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	g__Coscinodiscus.s__Coscinodiscus_wailesii__671091
4	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Dactyliosolen.s__Dactyliosolen_fragilissimus__1118495	SRR8039428	0.0	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	g__Dactyliosolen.s__Dactyliosolen_fragilissimus__1118495
5	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Eucampia.s__Eucampia_antarctica__49252	SRR8039428	0.0771333	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	g__Eucampia.s__Eucampia_antarctica__49252
6	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Geminigera.s__Geminigera_cryophila__46947	SRR8039428	0.0	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	g__Geminigera.s__Geminigera_cryophila__46947
7	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Nitzschia.s__Nitzschia_putrida__2742595	SRR8039428	0.0	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	g__Nitzschia.s__Nitzschia_putrida__2742595
8	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Odontella.s__Odontella_aurita__265563	SRR8039428	0.0	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	g__Odontella.s__Odontella_aurita__265563
9	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Rhodomonas.s__Rhodomonas_abbreviata__46948	SRR8039428	0.0	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	g__Rhodomonas.s__Rhodomonas_abbreviata__46948
10	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Rhodomonas.s__Rhodomonas_lens__354590	SRR8039428	0.0	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	g__Rhodomonas.s__Rhodomonas_lens__354590
11	ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Synechococcus.s__Synechococcus_sp_BL107	SRR8039428	0.0	ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	g__Synechococcus.s__Synechococcus_sp_BL107
12	ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Synechococcus.s__Synechococcus_sp_CC9902	SRR8039428	0.0	ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	g__Synechococcus.s__Synechococcus_sp_CC9902
13	ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Synechococcus.s__Synechococcus_sp_BL107	SRR8039428	0.0	ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	g__Synechococcus.s__Synechococcus_sp_BL107
14	ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Synechococcus.s__Synechococcus_sp_CC9902	SRR8039428	0.0	ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	g__Synechococcus.s__Synechococcus_sp_CC9902
15	ARO-PWY: chorismate biosynthesis I|g__Synechococcus.s__Synechococcus_sp_BL107	SRR8039428	0.0	ARO-PWY	chorismate biosynthesis I	g__Synechococcus.s__Synechococcus_sp_BL107
16	ARO-PWY: chorismate biosynthesis I|g__Synechococcus.s__Synechococcus_sp_CC9902	SRR8039428	0.0	ARO-PWY	chorismate biosynthesis I	g__Synechococcus.s__Synechococcus_sp_CC9902
17	BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Synechococcus.s__Synechococcus_sp_BL107	SRR8039428	0.0	BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	g__Synechococcus.s__Synechococcus_sp_BL107
18	BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Synechococcus.s__Synechococcus_sp_CC9902	SRR8039428	0.0	BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	g__Synechococcus.s__Synechococcus_sp_CC9902
19	CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Cylindrotheca.s__Cylindrotheca_closterium__2856	SRR8039428	0.0	CALVIN-PWY	Calvin-Benson-Bassham cycle	g__Cylindrotheca.s__Cylindrotheca_closterium__2856
20	CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Odontella.s__Odontella_aurita__265563	SRR8039428	0.0	CALVIN-PWY	Calvin-Benson-Bassham cycle	g__Odontella.s__Odontella_aurita__265563
21	CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Pseudictyota.s__Pseudictyota_dubia__2749911	SRR8039428	0.0	CALVIN-PWY	Calvin-Benson-Bassham cycle	g__Pseudictyota.s__Pseudictyota_dubia__2749911
22	CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Synechococcus.s__Synechococcus_sp_BL107	SRR8039428	0.0	CALVIN-PWY	Calvin-Benson-Bassham cycle	g__Synechococcus.s__Synechococcus_sp_BL107
23	CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Synechococcus.s__Synechococcus_sp_CC9902	SRR8039428	39.0625	CALVIN-PWY	Calvin-Benson-Bassham cycle	g__Synechococcus.s__Synechococcus_sp_CC9902
24	CHLOROPHYLL-SYN: 3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)|g__Bathycoccus.s__Bathycoccus_prasinos__41875	SRR8039428	0.0	CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	g__Bathycoccus.s__Bathycoccus_prasinos__41875
25	CHLOROPHYLL-SYN: 3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)|g__Bathycoccus.s__unclassified__41874	SRR8039428	0.0	CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	g__Bathycoccus.s__unclassified__41874
26	CHLOROPHYLL-SYN: 3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)|g__Prochlorococcus.s__Prochlorococcus_sp_MIT_0801	SRR8039428	0.0	CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	g__Prochlorococcus.s__Prochlorococcus_sp_MIT_0801
27	CHLOROPHYLL-SYN: 3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)|g__Synechococcus.s__Synechococcus_sp_BL107	SRR8039428	0.0	CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	g__Synechococcus.s__Synechococcus_sp_BL107
28	CHLOROPHYLL-SYN: 3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)|g__Synechococcus.s__Synechococcus_sp_CC9902	SRR8039428	0.0	CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	g__Synechococcus.s__Synechococcus_sp_CC9902
29	COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Formosa.s__Formosa_sp.__2018467	SRR8039428	8.54331	COA-PWY	coenzyme A biosynthesis I (prokaryotic)	g__Formosa.s__Formosa_sp.__2018467
30	COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Synechococcus.s__Synechococcus_sp._BS307-5m-G35__2781766	SRR8039428	0.0	COA-PWY	coenzyme A biosynthesis I (prokaryotic)	g__Synechococcus.s__Synechococcus_sp._BS307-5m-G35__2781766
